base_impl,attrCount,revealRatio,desktop_wallet_ms,mobile_wallet_ms,raspberry_pi_wallet_ms,desktop_verifier_ms,mobile_verifier_ms,raspberry_pi_verifier_ms
json-bbs-plus,5,0.4,78.58370339999993,271.05944613999986,1496.8561980801821,24.59526374000008,80.17872310000017,465.76378585904837
json-bbs-plus,5,0.6,77.28218361999981,270.18481999999955,1485.119057839811,24.64960063999999,80.4966784200001,467.63337054044007
json-bbs-plus,5,0.8,78.40189456000003,267.84554612000034,1476.5081512215734,24.723548879999836,80.6206324399999,468.6230234184861
json-bbs-plus,5,1.0,78.74831137999995,266.71862932000033,1466.0329292991757,25.18172906,80.79375073999952,468.97900416105983
json-bbs-plus,6,0.2,81.40681364000011,297.43716465999864,1553.025456440747,25.112046239999835,86.24188309999998,473.0204926988483
json-bbs-plus,6,0.4,80.79276777999992,303.5282416400002,1552.925411079526,25.27275232,82.94721997999994,477.47372117966415
json-bbs-plus,6,0.6,81.55267039999956,300.51183382000045,1546.4197945803403,25.693582020000175,83.10950927999889,479.18605811923743
json-bbs-plus,6,0.8,82.2341933199999,300.11981853999924,1537.5199880212544,25.73451497999995,83.38793078000076,480.38381889909505
json-bbs-plus,6,1.0,80.42727816000057,296.88140775999983,1523.3677635991573,25.81444117999956,83.4869800000015,481.2193762204051
json-bbs-plus,7,0.2,86.69869230000026,311.6807508399984,1610.6618795400857,26.175325200000223,83.81657383999904,484.0036584198475
json-bbs-plus,7,0.4,86.51736292000015,308.8018461400003,1607.6344009593129,26.392344040000463,84.64367846000124,488.6949846410751
json-bbs-plus,7,0.6,84.53242128000012,308.797664560001,1600.932099159658,25.918173300000344,85.33243534000184,492.37563320130107
